:START_ID,:END_ID,type:TYPE
Aaron_Van_Camp,Rose_O'Neal_Greenhow,KNOWNFOR
Aaron_Woodley,Brandon_Cronenberg,RELATIVE
Aaron_Woodley,Caitlin_Cronenberg,RELATIVE
Aaron_Woodley,David_Cronenberg,RELATIVE
Aaron_in_Islam,Moses_in_Islam,PREDECESSOR
Aaron_in_Islam,Moses_in_Islam,RELATIVE
Aaron_in_Islam,David_in_Islam,SUCCESSOR
Aarthi_(actress),Ganeshkar,SPOUSE
Aarthi_Ramamurthy,Sriram_Krishnan,SPOUSE
Aarti_Bajaj,Anurag_Kashyap,SPOUSE
Aarya_Babbar,Nadira_Babbar,PARENT
Aarón_Díaz,Kate_del_Castillo,SPOUSE
Aase_Bye,Trygve_Hoff,SPOUSE
Aashiq_Abu,Rima_Kallingal,SPOUSE
Aashritha,Ashrita_Shetty,OWL#DIFFERENTFROM
Aasmund_Brynildsen,Alf_Larsen,RELATIVE
Aasta_Falkberget,Magnus_Falkberget,RELATIVE
Ab_Saunders,Frank_Coe_(Lincoln_County_War),RELATION
Ab_Saunders,George_Coe_(Lincoln_County_War),RELATION
Abadi_Bano_Begum,Shaukat_Ali_(politician),CHILD
Aban_ibn_Sa'id,Khalid_ibn_Sa'id,RELATIVE
Abayima,Jon_Gosier,FOUNDEDBY
Abayima,Jon_Gosier,KEYPERSON
Abbas_Khalili,Simin_Behbahani,CHILD
Abbas_Kiarostami,Bahman_Kiarostami,CHILD
Abbas_Tyrewala,Pakhi_Tyrewala,SPOUSE
Abbas_ibn_Abd_al-Muttalib,Abbas_ibn_Abd_al-Muttalib,PARENT
Abbas_ibn_Abd_al-Muttalib,Abdullah_ibn_Abd_al-Muttalib,RELATIVE
Abbas_ibn_Abd_al-Muttalib,Abū_Lahab,RELATIVE
Abbas_ibn_Abd_al-Muttalib,Safiyya_bint_Abd_al-Muttalib,RELATIVE
Abbas_ibn_Abd_al-Muttalib,Umayma_bint_Abd_al-Muttalib,RELATIVE
Abbas_ibn_Ali,Umm_al-Banin,PARENT
Abbas_ibn_Ali,Abdullah_ibn_Ali_ibn_Abi_Talib,RELATIVE
Abbas_ibn_Ali,Ja'far_ibn_Ali,RELATIVE
Abbas_ibn_Ali,Muhsin_ibn_Ali,RELATIVE
Abbas_ibn_Ali,Umm_Kulthum_bint_Ali,RELATIVE
Abbas_ibn_Ali,Zaynab_bint_Ali,RELATIVE
Abbas_ibn_Ali,Abbas_ibn_Ali,SPOUSE
Abbasuddin_Ahmed,Mustafa_Zaman_Abbasi,CHILD
Abbe_Lane,Xavier_Cugat,SPOUSE
Abbeyfield,Nicholas_Winton,KEYPERSON
Abbi_Jacobson,Jodi_Balfour,PARTNER
Abbie_Cornish,Isabelle_Cornish,RELATIVE
Abbie_G._Rogers,Mary_(Mai)_Huttleston_Rogers_Coe,CHILD
Abbie_G._Rogers,Henry_Huttleston_Rogers,SPOUSE
Abby_Aldrich_Rockefeller,Abby_Rockefeller_Mauzé,CHILD
Abby_Aldrich_Rockefeller,John_D._Rockefeller_III,CHILD
Abby_Aldrich_Rockefeller,Laurance_Rockefeller,CHILD
Abby_Aldrich_Rockefeller,Lucy_Aldrich,RELATIVE
Abby_Aldrich_Rockefeller,John_D._Rockefeller_Jr.,SPOUSE
Abby_Berlin,Iris_Meredith,SPOUSE
Abby_Brammell,Jake_La_Botz,SPOUSE
Abby_Dalton,Kathleen_Kinmont,CHILD
Abby_Jimenez,Ramon_T._Jimenez,RELATIVE
Abby_Mann,Aaron_Cohen_(actor),CHILD
Abby_Martin,Project_Censored,KNOWNFOR
Abby_Mavers,Tommy_Knight,PARTNER
Abby_Mavers,Gary_Mavers,RELATIVE
Abby_May,Amos_Bronson_Alcott,SPOUSE
Abby_Rockefeller_Mauzé,Abby_Aldrich_Rockefeller,PARENT
Abby_Rockefeller_Mauzé,John_D._Rockefeller_Jr.,PARENT
Abby_Rubenfeld,Paul_Reubens,RELATIVE
Abd-Allah_ibn_Jahsh,Abu_Ahmad_ibn_Jahsh,RELATIVE
Abd-Allah_ibn_Jahsh,Habiba_bint_Jahsh,RELATIVE
Abd-Allah_ibn_Jahsh,Hammanah_bint_Jahsh,RELATIVE
Abd-Allah_ibn_Jahsh,Zaynab_bint_Jahsh,RELATIVE
Abd_Allah_ibn_Hasan_ibn_Ali,Bishr_ibn_Hasan,RELATIVE
